,RegionCode,T,Nuts0,sp61,tc,tl_mean,tl_diff,sp61_resi_regional_alt,sp61_resi_regional_alt_cont,population,empden,labprod,unemployment
641,ES70,2008,ES,9.804726289780122,1.9169452524340005,4.869124796121759,2.151398869869971,1.0,5.844769238236478,1991954,11.278367127702433,0.0503735444695797,17.2
642,FI19,2008,FI,9.823409167224485,2.21454588772123,4.8346871343499,2.178343262668045,0.0,-0.760882867661606,1344565,1.069057366856649,0.0710717631958928,6.5
643,FI20,2008,FI,6.105962059559166,2.9966072375277197,4.437818224490124,4.322667522742266,0.0,-9.805303077243144,27153,0.978813832184944,0.0716453947368421,
644,HU21,2008,HU,8.4881767501982,2.4262739723259785,4.93336645904276,2.7569588501287416,1.0,1.9250015632825512,1104841,4.071608492263405,0.0239609147149801,5.8
645,HU22,2008,HU,8.482316347557713,2.3215505115570183,4.978206747018224,2.844170982121552,1.0,6.338224639309712,997939,3.723385473676777,0.0254711474632527,5.0
646,HU23,2008,HU,8.038734715238322,2.331861422515552,4.932476842419647,2.719042319574989,1.0,11.010639975023254,960088,2.329783254638746,0.0211714934868221,10.3
647,HU31,2008,HU,8.1812113602718,2.369029830895142,4.925409712872614,2.7669253395066384,0.0,-1.835387891190632,1236690,3.0522303615031863,0.019754487804878,13.3
648,HU32,2008,HU,8.42931448596891,2.3058406201359003,5.017092750801551,2.7643810490228264,1.0,6.204598932358937,1514020,2.8817517260051444,0.019867175572519,12.1
649,HU33,2008,HU,8.37478115281405,2.3046959637424407,4.998386112451189,2.701900673506539,1.0,10.330683579791163,1334506,2.6416246755229804,0.0201778695293146,8.7
650,ITC1,2008,IT,11.12506718231069,1.920791252489353,4.925993377573084,3.5207182434226567,0.0,-1.3036230773104625,4332069,7.485518905872889,0.068997087430813,5.1
651,ITC2,2008,IT,7.777573360308075,2.4606338256322515,4.741923907733308,2.4906211883804064,1.0,5.883827450559847,125550,1.753627662858907,0.0832795774647887,3.3
652,ITC3,2008,IT,10.11156295570775,2.679390143699728,5.0014816289523125,3.42364097885981,1.0,2.7361963390446653,1573333,11.926829268292684,0.076541607676577,5.4
653,ITC4,2008,IT,12.081827605042756,2.046810687371567,5.234090031756263,1.8999343184043316,1.0,4.55088204648791,9469841,18.746491228070177,0.0818689041224088,3.7
654,ITF1,2008,IT,9.625117976349754,2.7716766546221403,4.907629004734787,2.771185928827688,1.0,0.9934364104943396,1297991,4.8020686412787965,0.0607321911102408,6.6
655,ITF2,2008,IT,8.183372934156736,3.099250271205105,5.024829692335908,2.1365278525945124,0.0,-4.199283032959791,317655,2.581751657900755,0.0611290522586359,9.1
656,ITF3,2008,IT,10.804803768481728,2.2902026091869963,4.926559367895876,2.416426649990388,1.0,1.1687260543139764,5750281,12.478345280764636,0.0639154149961103,12.5
657,ITF4,2008,IT,10.443236438470654,2.3734794600396323,4.82708299614811,2.661505799168942,0.0,-2.25302359813483,4040624,6.661455890782138,0.0552837296620776,11.6
658,ITF5,2008,IT,8.688471381193366,2.809753051703578,4.825597903930328,2.3222374222856565,0.0,-0.5935812647643566,584871,1.9960901327297047,0.0618323711340206,11.0
659,ITF6,2008,IT,9.831606410835825,2.0460506294073304,4.692885910029377,3.633624309700452,1.0,3.314723566535213,1974058,3.9632617094828175,0.05799428766889,12.0
660,ITG1,2008,IT,10.716303879792887,2.0278770482405637,4.702326665082912,3.5541659202650964,1.0,0.6881233528726771,4981526,5.81801723798654,0.061150206318068,13.7
661,ITG2,2008,IT,9.801141199472754,2.007252712259445,4.583816006171665,3.7788582096583143,1.0,4.804150898787665,1639766,2.518834756403817,0.0557359089398471,12.2
662,LU00,2008,LU,9.920448897978352,1.829774559393489,4.764508023721246,2.3555281007792948,1.0,8.066074867448139,483799,7.8267594740912605,0.1976756916996047,5.1
663,LV00,2008,LV,9.268789551234304,1.93670077536486,4.788412739902715,1.763228721588661,1.0,7.842634162718074,2191810,1.6960897806932922,0.0232117167504028,7.7
664,MT00,2008,MT,7.990018179501799,2.142707269810968,4.975169481651909,1.8755461208016648,1.0,15.168322398837171,407832,50.18987341772152,0.0390499369482976,6.0
665,NL11,2008,NL,9.719441140472233,1.8683048178746624,4.762942197783592,2.6763109621300822,1.0,35.43157496900872,573459,11.944456349376418,0.0974953713670613,5.9
666,NL12,2008,NL,9.103656545442169,2.043195916418348,4.540579765103629,2.2565253597562043,1.0,5.348299513932952,643189,9.405392464913067,0.0569560610881323,3.8
667,NL13,2008,NL,8.802784813027404,2.065510236619375,4.525653838072928,2.298763648336511,1.0,4.139233330929195,488135,8.867517322327819,0.0617345004269854,4.4
668,NL21,2008,NL,9.67851235631847,2.0866271630174644,4.500492670313663,2.1101445198784194,1.0,7.945707454735698,1119994,17.263050276641813,0.0625559310224699,3.5
669,NL22,2008,NL,10.170608102854626,1.981628160455488,4.396168389884188,1.9866670123223007,1.0,3.2545056894199624,1983869,20.264290598978235,0.0641706004962779,3.5
670,NL23,2008,NL,8.491650821293193,2.3237282109677464,4.3802031049009305,2.2070207399310853,0.0,-1.877908818430191,378688,14.17989417989418,0.0573124378109452,4.2
671,NL31,2008,NL,10.02806696550911,1.932445168284652,4.4981613157604,2.2015699067458985,1.0,2.3230051052524834,1201350,46.27436823104693,0.090530285535965,2.8
672,NL32,2008,NL,10.76716274819037,1.906125142734628,4.560018410423702,2.144534624675308,1.0,3.331428440589512,2626163,51.61362785473605,0.0931149717104308,3.5
673,NL33,2008,NL,11.034335174546346,1.9786254233428404,4.670766507666124,2.266082652488264,1.0,3.273538429485097,3461435,62.17714143603226,0.0826430775384263,3.8
674,NL34,2008,NL,8.845039442574885,2.10765154153924,4.595183674383582,2.360457920434861,1.0,7.780779486032179,380585,10.290414638240726,0.0630189233278955,2.7
675,NL41,2008,NL,10.569226681634948,1.9810791885528871,4.466834319852843,2.089638978648087,1.0,2.310645634565712,2424827,25.845621885487645,0.0719726922168883,3.2
676,NL42,2008,NL,9.733314272166776,1.955371108677675,4.481382570884107,2.187655703900984,0.0,-0.0852176199104921,1123705,25.29173834208936,0.0668708272058823,4.6
677,SE11,2008,SE,10.575231601300931,1.883325711966088,4.358036410659183,2.091011975982661,0.0,-4.777241680346594,1949516,16.033930023161993,0.1001308619535061,5.2
678,SE12,2008,SE,9.79264002531581,1.992063160566261,4.353490740664075,1.614662727220085,0.0,-6.011873721180187,1534529,1.9229523950133784,0.068348760775862,6.9
679,SE21,2008,SE,9.623851324850596,1.8217290304522775,4.312419482637182,2.0992872062777144,0.0,-10.724413067271714,805353,1.2348086436605057,0.0669216472303207,5.0
680,SE22,2008,SE,9.128077038253828,2.039257931176355,4.331352064169318,1.7869557309104582,0.0,-9.17786282868932,1351257,4.728903383611904,0.0695776769509981,7.4
681,SE23,2008,SE,8.414695493681679,2.49633242321622,4.474475503415012,1.4558264742800864,0.0,-0.6499278475099314,1838691,3.142325878637691,0.074642027260926,6.1
682,SE31,2008,SE,8.808037323926868,1.9999319020542288,4.4065224839446175,1.8458511437779757,1.0,0.7571483347610971,825000,0.6116743217119379,0.0659799182422074,6.6
683,SE32,2008,SE,9.27806273003919,1.8598600867456685,4.417575980140164,2.276777195070799,1.0,3.2628125466913223,370386,0.2438488700167258,0.0729976327944572,7.1
684,SE33,2008,SE,10.087231148137205,1.731868589997709,4.44934810256049,2.262328230611341,0.0,-0.8133695904700993,508195,0.15863012395178,0.0754433442892358,6.6
685,SK01,2008,SK,9.226857304934832,2.1947424083583598,5.489251534666847,2.310145477226655,1.0,21.38981508110425,592824,16.239649293716514,0.0531338032393521,3.4
686,SK02,2008,SK,9.491585964164502,2.324304295739163,5.662053822021599,2.145647365302173,1.0,22.556660551421764,1846283,5.954778896818515,0.0241994063620071,6.4
