,causes,caused,weight
549,AT13,DE94,0
550,AT13,DEA1,0
551,AT13,DEA2,0
552,AT13,DEA3,0
553,AT13,DEA4,0
554,AT13,DEA5,0
555,AT13,DEB1,0
556,AT13,DEB2,0
557,AT13,DEB3,0
558,AT13,DEC0,0
559,AT13,DED1,0
560,AT13,DED2,0
561,AT13,DED3,0
562,AT13,DEE1,1
563,AT13,DEE2,0
564,AT13,DEE3,0
565,AT13,DEF0,0
566,AT13,DEG0,0
567,AT13,DK01,0
568,AT13,DK02,0
569,AT13,DK03,0
570,AT13,EE00,0
571,AT13,ES11,0
572,AT13,ES12,0
573,AT13,ES13,0
574,AT13,ES21,0
575,AT13,ES22,0
576,AT13,ES23,0
577,AT13,ES24,0
578,AT13,ES30,0
579,AT13,ES41,0
580,AT13,ES42,0
581,AT13,ES43,0
582,AT13,ES51,0
583,AT13,ES52,1
584,AT13,ES53,1
585,AT13,ES61,0
586,AT13,ES62,0
587,AT13,ES63,0
588,AT13,ES64,0
589,AT13,ES70,0
590,AT13,FI13,0
591,AT13,FI18,0
592,AT13,FI19,1
593,AT13,FI1A,0
594,AT13,FI20,0
595,AT13,FR10,0
596,AT13,FR21,0
597,AT13,FR22,1
598,AT13,FR23,0
599,AT13,FR24,0
600,AT13,FR25,0
601,AT13,FR26,0
602,AT13,FR30,1
603,AT13,FR41,1
604,AT13,FR42,0
605,AT13,FR43,0
606,AT13,FR51,0
607,AT13,FR52,0
608,AT13,FR53,0
609,AT13,FR61,0
610,AT13,FR62,0
611,AT13,FR63,0
612,AT13,FR71,1
613,AT13,FR72,0
614,AT13,FR81,0
615,AT13,FR82,1
616,AT13,FR83,0
617,AT13,GR11,0
618,AT13,GR12,0
619,AT13,GR13,0
620,AT13,GR14,0
621,AT13,GR21,0
622,AT13,GR22,0
623,AT13,GR23,0
624,AT13,GR24,0
625,AT13,GR25,0
626,AT13,GR30,0
627,AT13,GR41,0
628,AT13,GR42,0
629,AT13,GR43,0
630,AT13,HU10,0
631,AT13,HU21,0
632,AT13,HU22,0
633,AT13,HU23,0
634,AT13,HU31,0
635,AT13,HU32,0
